,title,movie_text_data
746,High Voltage,"High Voltage High Voltage Crime, Drama, Romance Howard Higgin Elliott J. Clawson, James Gleason Pathé Exchange William Boyd, Carole Lombard, Owen Moore, Phillips Smalley, Billy Bevan, Diane Ellis A busload of passengers gets stranded in a snowstorm and take refuge in an abandoned church, where they run into a mysterious man who may be on the run from the law."
747,The Hole in the Wall,"The Hole in the Wall The Hole in the Wall Drama, Mystery Robert Florey Pierre Collings, Frederick J. Jackson Paramount Pictures Claudette Colbert, David Newell, Nellie Savage, Edward G. Robinson, Donald Meek, Alan Brooks, Louise Closser Hale, Katherine Emmet, Marcia Kagno, Barry Macollum, George MacQuarrie, Helen Crane Mrs. Ramsey sent Jean Oliver to prison on a false charge. To get even, Jean (disguised as Madame Mystera) plans to kidnap her daughter and turn her into a thief. Love entanglements with a ..."
748,The Hollywood Revue of 1929,"Hollywood che canta The Hollywood Revue of 1929 Comedy, Music Charles Reisner, Christy Cabanne Al Boasberg, Robert E. Hopkins Metro-Goldwyn-Mayer (MGM) Conrad Nagel, Jack Benny, John Gilbert, Norma Shearer, Joan Crawford, Bessie Love, Cliff Edwards, Stan Laurel, Oliver Hardy, Anita Page, Nils Asther, Brox Sisters, Natova and Company, Marion Davies, William Haines An all-star revue featuring MGM contract players."
749,Seven Footprints to Satan,"Sette passi verso Satana Seven Footprints to Satan Comedy, Crime, Drama Benjamin Christensen Abraham Merritt, Benjamin Christensen First National Pictures Thelma Todd, Creighton Hale, Sheldon Lewis, William V. Mong, Sôjin Kamiyama, Laska Winter, Ivan Christy, DeWitt Jennings, Nora Cecil, Kalla Pasha, Harry Tenbrook, Cissy Fitzgerald, Angelo Rossitto, Thelma McNeil, Inez Marion A young man of society wants to make an expedition to Africa, but his fiancée asks him for help about one of her fathers guests shortly before his planed departure. Her suspects about that ..."
751,The Idle Rich,"The Idle Rich The Idle Rich Comedy William C. de Mille Edith Ellis, Edgar Franklin Metro-Goldwyn-Mayer (MGM) Conrad Nagel, Bessie Love, Leila Hyams, Robert Ober, James Neill, Edythe Chapman, Paul Kruger, Kenneth Gibson Millionaire William van Luyn falls in love with his secretary Joan Thayer and marries her. Her family, part of ""the great middle class"" (as blowhard nephew Henry keeps reminding us), is ..."
752,In Old Arizona,"Notte di tradimento In Old Arizona Action, Adventure, Romance Irving Cummings O. Henry, Tom Barry Fox Film Corporation Edmund Lowe, Warner Baxter, Dorothy Burgess A charming, happy-go-lucky bandit in old Arizona plays cat-and-mouse with the sheriff trying to catch him while he romances a local beauty."
754,The Iron Mask,"La maschera di ferro The Iron Mask Adventure, Drama, History Allan Dwan Lotta Woods, Douglas Fairbanks Elton Corporation Belle Bennett, Marguerite De La Motte, Dorothy Revier, Vera Lewis, Rolfe Sedan, William Bakewell, Gordon Thorpe, Nigel De Brulier, Ullrich Haupt, Lon Poff, Charles Stevens, Henry Otto, Léon Bary, Tiny Sandford, Gino Corrado King Louis XIII of France is thrilled to have born to him a son - an heir to the throne. But when the queen delivers a twin, Cardinal Richelieu sees the second son as a potential for ..."
755,It's a Great Life,"La romanza dell'amore It's a Great Life Comedy, Musical, Romance Sam Wood Byron Morgan, Leonard Praskins Metro-Goldwyn-Mayer (MGM) Rosetta Duncan, Vivian Duncan, Lawrence Gray, Jed Prouty, Benny Rubin Casey and Babe are sisters who work in a department store and each year the store puts on a show. As expected, things are going wrong with every act until Casey comes out to help Babe with ..."
756,The Kiss,"Il bacio The Kiss Romance, Drama Jacques Feyder George M. Saville, Hanns Kräly Metro-Goldwyn-Mayer (MGM) Greta Garbo, Conrad Nagel, Anders Randolf, Holmes Herbert, Lew Ayres, George Davis An unhappily married woman is caught up in scandal and murder when her affection toward a young man is misinterpreted."
758,The Last Performance,"Erik il grande The Last Performance Drama, Horror, Romance Pál Fejös Walter Anthony, James Ashmore Creelman Universal Pictures Conrad Veidt, Mary Philbin, Leslie Fenton, Fred MacKaye, Eddie Boland, Anders Randolf, Sam De Grasse, Gusztáv Pártos, William H. Turner, George Irving, Rosita Delmar A middle-aged magician is in love with his beautiful young assistant. She, on the other hand, is in love with the magician's young protege, who turns out to be a bum and a thief."
759,The Last Warning,"The Last Warning The Last Warning Horror, Mystery, Thriller Paul Leni Wadsworth Camp, Alfred A. Cohn Universal Pictures Laura La Plante, Montagu Love, Roy D'Arcy, Margaret Livingston, John Boles, Burr McIntosh, Mack Swain, Bert Roach, Carrie Daumery, Slim Summerville, Torben Meyer, D'Arcy Corrigan, Bud Phelps, Charles K. French, Francisco Marán A producer decides to reopen a theater, that had been closed five years previously when one of the actors was murdered during a performance, by staging a production of the same play with ..."
760,The Last of Mrs. Cheyney,"L'onestà della signora Cheyney The Last of Mrs. Cheyney Comedy, Drama Sidney Franklin Frederick Lonsdale Metro-Goldwyn-Mayer (MGM) Norma Shearer, Basil Rathbone, George Barraud, Herbert Bunston, Hedda Hopper, Moon Carroll, Madeline Seymour, Cyril Chadwick, George K. Arthur, Frank Finch Smiles, Maude Turner Gordon There is a big charity function at the house of Mrs. Cheyney and a lot of society is present. With her rich husband, deceased, rich old Lord Elton and playboy Lord Arthur Dilling are both ..."
761,The Letter,"The Letter The Letter Drama Jean de Limur W. Somerset Maugham Paramount Pictures Jeanne Eagels, Reginald Owen, Herbert Marshall, Irene Browne, O.P. Heggie, Lady Tsen Mei, Tamaki Yoshiwara Jeanne Eagels plays the bored and restless Leslie Crosbie who turns to another man, Geoffrey Hammond (Herbert Marshall) for attention when neglected by her husband Robert (Reginald Owen). ..."
762,Linda,"Linda Linda Drama Dorothy Davenport Maxine Alton, Margaret Prescott Montague Mrs. Wallace Reid Productions Warner Baxter, Helen Foster, Noah Beery, Mitchell Lewis, Kate Price, Allen Connor, Bess Flowers, Billie Brockwell, Monty O'Grady Circumstances force a young woman to marry a much older man, although she really loves a young doctor."
763,The Locked Door,"La porta chiusa The Locked Door Drama, Mystery, Thriller George Fitzmaurice Channing Pollock, C. Gardner Sullivan George Fitzmaurice Productions Rod La Rocque, Barbara Stanwyck, William 'Stage' Boyd, Betty Bronson, Harry Stubbs, Harry Mestayer, Mack Swain, Zasu Pitts, George Bunny On her first anniversary Ann Reagan finds that her sister-in-law is involved with a shady character from her own past, and determines to intervene."
764,The Love Parade,"Il principe consorte The Love Parade Comedy, Musical, Romance Ernst Lubitsch Ernest Vajda, Guy Bolton Paramount Pictures Maurice Chevalier, Jeanette MacDonald, Lupino Lane, Lillian Roth, Eugene Pallette, E.H. Calvert, Edgar Norton, Lionel Belmore, Russ Powell, Carl Stockdale, Albert Roccardi, Anton Vaverka, Albert De Winton, William von Hardenburg, Margaret Fealy The queen of mythical Sylvania marries a courtier, who finds his new life unsatisfying."
765,The Love Trap,"Trappola d'amore The Love Trap Comedy William Wyler Edward J. Montagne, Clarence Thompson Universal Pictures Laura La Plante, Neil Hamilton, Robert Ellis, Jocelyn Lee, Norman Trevor, Clarissa Selwynne, Rita La Roy A chorus girl loses her job and thus the room she owes back rent on, and ends up being rescued from the street by a dashing rich man. But his family isn't over-accepting of chorus girls joining their family."
766,Lucky Star,"La stella della fortuna Lucky Star Drama, Romance Frank Borzage John Hunter Booth, H.H. Caldwell Fox Film Corporation Janet Gaynor, Charles Farrell, Guinn 'Big Boy' Williams, Paul Fix, Hedwiga Reicher, Gloria Grey, Hector V. Sarno Mary, a poor farm girl, meets Tim just as word comes that war has been declared. Tim enlists in the army and goes to the battlefields of Europe, where he is wounded and loses the use of his..."
767,Madame X,"Madame X Madame X Drama Lionel Barrymore Alexandre Bisson, Willard Mack Metro-Goldwyn-Mayer (MGM) Lewis Stone, Ruth Chatterton, Raymond Hackett, Holmes Herbert, Eugenie Besserer, John P. Edington, Mitchell Lewis, Ullrich Haupt, Sidney Toler, Richard Carle, Carroll Nye, Claude King, Chappell Dossett A young lawyer unknowingly defends his mother who abandoned him when he was three."
769,Marianne,"La compagnia d'assalto Marianne Drama, Musical, Romance Robert Z. Leonard Dale Van Every, Laurence Stallings Cosmopolitan Productions Marion Davies, George Baxter, Lawrence Gray, Cliff Edwards, Benny Rubin, Scott Kolk, Robert Edeson, Emile Chautard During World War I, a young French woman struggles to choose between two suitors: a blind soldier to whom she is engaged and an American serviceman."
770,Marianne,"Marianne Marianne Drama Robert Z. Leonard Joseph Farnham, Laurence Stallings Cosmopolitan Productions Marion Davies, Oscar Shaw, Fred Solm, Robert Ames, Scott Kolk, Emile Chautard, Mack Swain, Oscar Apfel "
772,Mexicali Rose,"Rosa del Messico Mexicali Rose Drama, Romance Erle C. Kenton Norman Houston, Gladys Lehman Columbia Pictures Barbara Stanwyck, Sam Hardy, William Janney, Louis Natheaux, Arthur Rankin, Harry J. Vejar, Louis King, Julia Bejarano A drama set in a border town gambling saloon. The owner falls in love with a promiscuous young girl. When she has an affair with another, he tosses her out of town. She gets revenge by marrying his younger brother."
775,The Mysterious Dr. Fu Manchu,"Il drago rosso The Mysterious Dr. Fu Manchu Thriller Rowland V. Lee Lloyd Corrigan, Lloyd Corrigan Rowland V. Lee Productions Warner Oland, Neil Hamilton, Jean Arthur, O.P. Heggie, William Austin, Claude King, Charles A. Stevenson, Evelyn Selbie, Noble Johnson During the Boxer Rebellion in China during the early 20th century, in which a Chinese secret society attacked all westerners and anyone who associated with them, Dr. Fu Manchu's wife and ..."
776,The Mysterious Island,"L'isola misteriosa The Mysterious Island Adventure, Romance, Sci-Fi Lucien Hubbard, Benjamin Christensen Jules Verne, Lucien Hubbard Metro-Goldwyn-Mayer (MGM) Lionel Barrymore, Jacqueline Gadsdon, Lloyd Hughes, Montagu Love, Harry Gribbon, Snitz Edwards, Gibson Gowland, Dolores Brinkman, Karl Dane On a volcanic island near the kingdom of Hetvia rules Count Dakkar, a benevolent leader and scientist who has eliminated class distinction among the island's inhabitants. Dakkar, his ..."
777,Navy Blues,"Navy Blues Navy Blues Comedy, Drama Clarence Brown Raymond L. Schrock, Dale Van Every Metro-Goldwyn-Mayer (MGM) William Haines, Anita Page, Karl Dane, J.C. Nugent, Edythe Chapman, Wade Boteler, Frankie Genardi On shore leave, a young sailor meets and falls in love with a pretty young blonde. He goes home with her to meet her parents, but they don't approve of him at all. Their daughter takes ..."
778,New York Nights,"Notti di New York New York Nights Crime, Drama, Music Lewis Milestone Hugh Stanislaus Stange, Jules Furthman Joseph M. Schenck Productions Norma Talmadge, Gilbert Roland, John Wray, Lilyan Tashman, Mary Doran, Roscoe Karns A chorus girl with marital woes is pursued by a gangster."
779,Noah's Ark,"L'arca di Noè Noah's Ark Drama, War Michael Curtiz, Darryl F. Zanuck Darryl F. Zanuck, Anthony Coldeway Warner Bros. Dolores Costello, George O'Brien, Noah Beery, Louise Fazenda, Guinn 'Big Boy' Williams, Paul McAllister, Myrna Loy, Anders Randolf, Armand Kaliz, William V. Mong, Malcolm Waite, Nigel De Brulier, Noble Johnson, Otto Hoffman, Rosita Delmar The Biblical story of Noah and the Great Flood, with a parallel story of soldiers in the First World War."
783,On with the Show!,"On with the Show! On with the Show! Musical, Romance Alan Crosland Humphrey Pearson, Robert Lord Warner Bros. Arthur Lake, Betty Compson, Joe E. Brown, Sally O'Neil, William Bakewell, Louise Fazenda, Sam Hardy, Harry Gribbon, Lee Moran, Wheeler Oakman, Madeline Fairbanks, Marion Fairbanks, Purnell Pratt, Thomas Jefferson, Ethel Waters A musical advertised as the first 100% natural color, all-singing production. The plot concerns a wide-eyed former hatcheck girl who takes the place of a rebellious star."
784,Our Modern Maidens,"Ragazze americane Our Modern Maidens Drama, Comedy Jack Conway Josephine Lovett, Marian Ainslee Metro-Goldwyn-Mayer (MGM) Joan Crawford, Rod La Rocque, Douglas Fairbanks Jr., Anita Page, Edward J. Nugent, Josephine Dunn, Albert Gran A flapper charms a diplomat to procure her fiancé a career opportunity, while the fiancé starts a relationship with her best friend."
785,The Pagan,"L'isola del sole The Pagan Drama W.S. Van Dyke John Russell, Dorothy Farnum Metro-Goldwyn-Mayer (MGM) Ramon Novarro, Renée Adorée, Donald Crisp, Dorothy Janis A carefree South Seas native falls for the half-caste ward of a religious white man who desires her for himself."
789,Queen Kelly,"La regina Kelly Queen Kelly Drama Erich von Stroheim, Richard Boleslawski Erich von Stroheim, Marian Ainslee Gloria Swanson Pictures Gloria Swanson, Walter Byron, Seena Owen A convent girl is abducted and seduced by a prince before being sent off to a brothel in East Africa."
790,The Racketeer,"The Racketeer The Racketeer Crime, Drama, Thriller Howard Higgin Paul Gangelin, Paul Gangelin Pathé Exchange Robert Armstrong, Carole Lombard, Roland Drew, Paul Hurst, Kit Guard, Al Hill, Bobby Dunn, Budd Fine, Hedda Hopper, Jeanette Loff, John Loder, Winter Hall, Winifred Harris A dapper gangster sponsors an alcoholic violinist in order to win the love of a glamorous divorced socialite."
791,Redskin,"Redskin Redskin Western, Adventure, Drama Victor Schertzinger Julian Johnson, Elizabeth Pickett Paramount Pictures Richard Dix, Julie Carter, Tully Marshall, George Regas, Noble Johnson, Jane Novak, Larry Steers, Augustina López, Bernard Siegel, Jack Padjan "
792,Rio Rita,"Rio Rita Rio Rita Adventure, Music, Romance Luther Reed Luther Reed, Guy Bolton RKO Radio Pictures Bebe Daniels, John Boles, Bert Wheeler, Robert Woolsey, Dorothy Lee, Don Alvarado, Georges Renavent, Helen Kaiser, Tom Smith Capt. James Stewart pursues the bandit ""The Kinkajou"" over the Mexican border and falls in love with Rita. He suspects, that her brother is the bandit."
793,The River,"Il fiume The River Drama, Romance Frank Borzage John Hunter Booth, Dwight Cummins Fox Film Corporation Charles Farrell, Mary Duncan, Ivan Linow, Margaret Mann, Alfred Sabato, Bert Woodruff A naïve young man is working on a logging camp beside a turbulent river. When it closes for winter, he opts to stay for the experience. He meets a woman who was the girlfriend to the boss ..."
794,Chasing Rainbows,"Arcobaleno Chasing Rainbows Comedy, Drama, Musical Charles Reisner Robert E. Hopkins, Bess Meredyth Metro-Goldwyn-Mayer (MGM) Bessie Love, Charles King, Jack Benny, George K. Arthur, Polly Moran, Gwen Lee, Nita Martan, Eddie Phillips, Marie Dressler, Youcca Troubetzkov The road-show troupe of a top Broadway show go cross-country while taking the audience along on the on-stage scenes as well as what happens and is happening back stage of the production. ..."
796,Sally,"Sally Sally Musical John Francis Dillon Guy Bolton, Waldemar Young First National Pictures Marilyn Miller, Alexander Gray, Joe E. Brown, T. Roy Barnes, Pert Kelton, Ford Sterling, Maude Turner Gordon, E.J. Ratcliffe, Jack Duffy, Ethel Stone, Nora Lane Sally was an orphan who got her name from the telephone exchange where she was abandoned as a baby. In the orphanage, she discovered the joy of dancing and has been practicing since. ..."
797,Salute,"Saluto militare Salute Drama, Romance, Sport David Butler, John Ford Tristram Tupper, John Stone Fox Film Corporation George O'Brien, Helen Chandler, William Janney, Stepin Fetchit, Frank Albertson, Joyce Compton, David Butler, Lumsden Hare, Clifford Dempsey, Ward Bond West Point Cadet John and Annapolis Midshipman Frank focus their fraternal rivalry on the big Army-Navy football game."
798,The Saturday Night Kid,"Lui, lei, l'altra The Saturday Night Kid Comedy, Romance A. Edward Sutherland George Abbott, Lloyd Corrigan Paramount Pictures Clara Bow, Jean Arthur, James Hall, Edna May Oliver, Charles Sellon, Ethel Wales, Hyman Meyer Mayme and sister Janie are salesgirls in Ginsberg's Department Store. Mayme is in love with store clerk Bill, but Janie tries to steal him from her. Hazel, another salesgirl, is Jean Harlow's first credited role."
799,Seven Keys to Baldpate,"Seven Keys to Baldpate Seven Keys to Baldpate Comedy, Mystery, Thriller Reginald Barker Earl Derr Biggers, George M. Cohan RKO Radio Pictures Richard Dix, Miriam Seegar, Margaret Livingston, Lucien Littlefield, Joseph Allen Sr., DeWitt Jennings, Nella Walker, Carleton Macy, Alan Roscoe, Crauford Kent, Harvey Clark, Edith Murgatroyd, Arthur Hoyt A writer, looking for some peace and quiet in order to finish a novel, takes a room at the Baldpate Inn. Peace and quiet are last things he gets, though, as there are some very strange things going on at the establishment."
800,The Shakedown,"Clem, bizzarro monello The Shakedown Drama, Sport William Wyler Charles Logue, Charles Logue Universal Pictures James Murray, Barbara Kent, George Kotsonaros, Wheeler Oakman, Jack Hanlon, Harry Gribbon Dave Roberts is a professional boxer better at losing in fixed matches than in knocking out his opponents. He turns up in towns and is part of a group who sets up corrupt boxing matches. ..."
801,Show Boat,"Show Boat Show Boat Drama, Musical, Romance Harry A. Pollard, Arch Heath Edna Ferber, Edward J. Montaigne Universal Pictures Laura La Plante, Joseph Schildkraut, Emily Fitzroy, Otis Harlan, Alma Rubens, Jack McDonald, Jane La Verne, Neely Edwards, Elise Bartlett, Stepin Fetchit, Jules Bledsoe, Tess Gardella, Bettye Junod, Carl Laemmle, Helen Morgan A mostly silent version of Edna Ferber's original novel, with some songs from the musical as a last-minute addition"
802,Show of Shows,"Rivista delle nazioni Show of Shows Musical John G. Adolfi J. Keirn Brennan, Frank Fay Warner Bros. Frank Fay, William Courtenay, H.B. Warner, Hobart Bosworth, John Barrymore, Harry Akst, Armida, Johnny Arthur, Mary Astor, William Bakewell, Richard Barthelmess, Noah Beery, Sally Blane, Monte Blue, Irène Bordoni It's 1929. The studio gave the cinema its voice and offered the audiences a chance to see their favorite actors and actresses from the silent screen era. For the first time, they can be ..."
803,The Silent Enemy,"The Silent Enemy The Silent Enemy Drama H.P. Carver W. Douglas Burden, Richard Carver Burden-Chanler Productions Chief Yellow Robe, Chief Buffalo Child Long Lance, Chief Akawanush, Mary Alice Nelson Archambaud, Cheeka, Mali Spotted Elk A documentary about the life of Indians in Northern Canada."
804,The Single Standard,"Donna che ama The Single Standard Drama, Romance John S. Robertson Adela Rogers St. Johns, Josephine Lovett Metro-Goldwyn-Mayer (MGM) Greta Garbo, Nils Asther, Johnny Mack Brown, Dorothy Sebastian, Lane Chandler, Mahlon Hamilton, Kathlyn Williams, Zeffie Tilbury The wealthy Arden Stuart is bored in a party; after refusing the wedding proposal of Tommy Hewlett, she drives her car with her driver to a lonely place. She has one night stand with him ..."
805,So This Is College,"Fatemi la corte So This Is College Comedy, Drama, Romance Sam Wood Al Boasberg, Delmer Daves Metro-Goldwyn-Mayer (MGM) Elliott Nugent, Robert Montgomery, Cliff Edwards, Sally Starr, Phyllis Crane, Dorothy Dehn, Max Davidson, Ann Brody, Oscar Rudolph, Gene Stone, Polly Moran, Lee Shumway Biff and Eddie are the best of friends. They are college seniors, roommates at the fraternity, and star teammates on the USC football team. Then a flapper named Babs enters the picture. ..."
807,Speedway,"Cuori e motori Speedway Drama, Romance, Sport Harry Beaumont Byron Morgan, Ann Price Metro-Goldwyn-Mayer (MGM) William Haines, Anita Page, Ernest Torrence, Karl Dane, John Miljan, Eugenie Besserer, Polly Moran Bill Whipple is a happy-go-lucky mechanic for MacDonald who thinks that he is the worlds greatest driver and lover. Mac has treated Bill like a son since he took him in. One day at the ..."
808,Spite Marriage,"Io... e l'amore Spite Marriage Comedy Edward Sedgwick, Buster Keaton Lew Lipton, Ernest Pagano Metro-Goldwyn-Mayer (MGM) Buster Keaton, Dorothy Sebastian, Edward Earle, Leila Hyams, William Bechtel, Jack Byron An unimpressive but well intending man is given the chance to marry a popular actress, of whom he has been a hopeless fan. But what he doesn't realize is that he is being used to make the actress' old flame jealous."
809,The Squall,"The Squall The Squall Drama, Music, Romance Alexander Korda Jean Bart, Bradley King First National Pictures Alice Joyce, Richard Tucker, Myrna Loy, Loretta Young, Zasu Pitts, Carroll Nye, Harry Cording, George Hackathorne, Marcia Harris, Knute Erickson, Nicholas Soussanin The activities of Nubi (Myrna Loy), a minx-like, Hungarian gypsy girl who, while on the run from her abusive husband, takes shelter in a farmhouse, where she seduces and holds in thrall all the male members of the family."
811,Street Girl,"La ragazza del bacio Street Girl Drama, Musical, Romance Wesley Ruggles Jane Murfin, W. Carey Wonderly RKO Radio Pictures Betty Compson, John Harron, Jack Oakie, Ned Sparks, Guy Buccola, Joseph Cawthorn, Ivan Lebedeff, Doris Eaton, Gus Arnheim and His Cocoanut Grove Ambassadors A homeless and destitute violinist joins a combo to bring it success, but has problems with her love life."
812,The Studio Murder Mystery,"The Studio Murder Mystery The Studio Murder Mystery Crime, Mystery Frank Tuttle A. Channing Edington, Carmen Ballen Edington Paramount Pictures Neil Hamilton, Doris Hill, Warner Oland, Fredric March, Chester Conklin, Florence Eldridge, Guy Oliver, Donald MacKenzie, Gardner James, Eugene Pallette Philandering actor Richard Hardell is murdered at a movie studio. His jealous wife Blanche, his director Rupert Borka, and a girl he mistreated, Helen MacDonald, all have substantial ..."
813,Sunny Side Up,"Il sorriso della vita Sunny Side Up Comedy, Musical David Butler Buddy G. DeSylva, Lew Brown Fox Film Corporation Janet Gaynor, Charles Farrell, Marjorie White, El Brendel, Mary Forbes, Peter Gawthorne, Sharon Lynn, Frank Richardson, Joe Brown Molly and Bee, sweet young 'working girls,' live in a cheap room over a New York grocery store. Molly's idol, wealthy Jack Cromwell, lives in a Long Island mansion but is markedly less ..."
815,Taming of the Shrew,"La bisbetica domata Taming of the Shrew Comedy, Romance Sam Taylor William Shakespeare, Sam Taylor Elton Corporation Mary Pickford, Douglas Fairbanks, Edwin Maxwell, Joseph Cawthorn, Clyde Cook, Geoffrey Wardwell, Dorothy Jordan, Frankie Genardi In sixteenth century Padua, Hortensio loves Bianca, the youngest daughter of Baptista. But Baptista will not allow the two to get married until his eldest daughter, the extremely headstrong..."
816,Tanned Legs,"Tanned Legs Tanned Legs Comedy, Musical Marshall Neilan Thomas J. Geraghty RKO Radio Pictures Arthur Lake, June Clyde, Dorothy Revier, Ann Pennington, Albert Gran, Allen Kearns, Sally Blane, Edmund Burns, Lincoln Stedman, Nella Walker, Johnny Johnson, Johnny Johnson's Orchestra Peggy and Bill are high society lovebirds, but their marriage plans are put on hold while Peggy spends most of her summer straightening out her wayward parents and her unlucky-in-love ..."
817,Their Own Desire,"Ritorna il sole Their Own Desire Drama, Romance E. Mason Hopper Sarita Fuller, Frances Marion Metro-Goldwyn-Mayer (MGM) Norma Shearer, Belle Bennett, Lewis Stone, Robert Montgomery, Helene Millard, Cecil Cunningham, Henry Hebert, Mary Doran, June Nash Lally is a rich girl whose father writes books and plays Polo. After 23 years of marriage, he decides to divorce his wife, and marry Mrs. Chevers. This sours Lally on all men, while on ..."
818,They Had to See Paris,"They Had to See Paris They Had to See Paris Comedy Frank Borzage Owen Davis, Homer Croy Fox Film Corporation Will Rogers, Irene Rich, Owen Davis Jr., Marguerite Churchill, Fifi D'Orsay, Rex Bell, Ivan Lebedeff Oklahoma mechanic Pike Peters finds himself part owner of an oil field. His wife Idy, hitherto content, decides the family must go to Paris to get ""culture"" and meet ""the right kind of ..."
819,The Thirteenth Chair,"The Thirteenth Chair The Thirteenth Chair Drama, Mystery Tod Browning Bayard Veiller Metro-Goldwyn-Mayer (MGM) Conrad Nagel, Leila Hyams, Margaret Wycherly, Helene Millard, Holmes Herbert, Mary Forbes, Bela Lugosi, John Davidson, Charles Quatermaine, Moon Carroll, Cyril Chadwick, Bertram Johns, Gretchen Holland, Frank Leigh, Clarence Geldart Although his murdered friend was by all accounts a scoundrel a true ""bounder"" Edward Wales is determined to trap his killer by staging a seance using a famous medium. Many of the 13 seance ..."
820,Thunderbolt,"La mazzata Thunderbolt Crime, Drama, Film-Noir Josef von Sternberg Charles Furthman, Jules Furthman Paramount Pictures George Bancroft, Fay Wray, Richard Arlen, Tully Marshall, Eugenie Besserer, James Spottswood, Robert Elliott, Fred Kohler, E.H. Calvert, George Irving, Mike Donlin, S.S. Stewart, William L. Thorne A criminal known as Thunderbolt is imprisoned and facing execution. Into the next cell is placed Bob Moran, an innocent man who has been framed and who is in love with Thunderbolt's girl. ..."
821,Tide of Empire,"L'ondata dei forti Tide of Empire Western Allan Dwan Peter B. Kyne, Joseph Farnham Cosmopolitan Productions Renée Adorée, Tom Keene, George Fawcett, William Collier Jr., Fred Kohler, James Bradbury Sr., Harry Gribbon, Paul Hurst, Rosita Delmar California's gold dicovery in 1848 draws a ""tide of empire"" to the area, which becomes ripe for bandits."
823,The Trespasser,"L'intrusa The Trespasser Drama Edmund Goulding Edmund Goulding Gloria Productions Gloria Swanson, Robert Ames, Purnell Pratt, Henry B. Walthall, Wally Albright, William Holden, Blanche Friderici, Kay Hammond, Mary Forbes, Marcelle Corday The trial and tribulations of a strong-willed woman who elopes and gives birth out of wedlock without telling her ex-husband."
824,The Trial of Mary Dugan,"The Trial of Mary Dugan The Trial of Mary Dugan Drama Bayard Veiller Becky Gardiner, Bayard Veiller Metro-Goldwyn-Mayer (MGM) Norma Shearer, Lewis Stone, H.B. Warner, Raymond Hackett, Lilyan Tashman, Olive Tell, Adrienne D'Ambricourt, DeWitt Jennings, Wilfrid North, Landers Stevens, Mary Doran, Westcott Clarke, Charles R. Moore, Claud Allister, Myra Hampton Mary Dugan, a Broadway showgirl, is charged with murder in the knifing death of her wealthy lover, and goes on trial for her life. When her defense counsel appears to bungle his job, Mary's..."
825,The Unholy Night,"Lo spettro verde The Unholy Night Mystery, Thriller Lionel Barrymore Ben Hecht, Edwin Justus Mayer Metro-Goldwyn-Mayer (MGM) Ernest Torrence, Roland Young, Dorothy Sebastian, Natalie Moorhead, Sydney Jarvis, Polly Moran, George Cooper, Sôjin Kamiyama, Claude Fleming, Clarence Geldart, John Miljan, Richard Tucker, John Loder, Philip Strange, John Roche On a dark foggy London night, someone tries to strangle Lord Montague, but he escapes. Only to discover the four other men who did get killed were old regimental comrades in Gallipoli. When..."
826,Untamed,"L'indomabile Untamed Adventure, Drama, Romance Jack Conway Charles E. Scoggins, Lucille Newmark Metro-Goldwyn-Mayer (MGM) Joan Crawford, Robert Montgomery, Ernest Torrence, Holmes Herbert, John Miljan, Gwen Lee, Edward J. Nugent, Don Terry, Gertrude Astor, Milton J. Fahrney, Lloyd Ingraham, Grace Cunard, Tom O'Brien, Wilson Benge When her rich oilman father is killed, Bingo, raised in the wilds of South America, inherits the company. Her guardians Ben and Howard send her to New York for civilizing but on the way she..."
827,The Vagabond Lover,"The Vagabond Lover The Vagabond Lover Comedy, Musical Marshall Neilan James Ashmore Creelman RKO Radio Pictures Rudy Vallee, Sally Blane, Marie Dressler, Charles Sellon, Nella Walker, Edward J. Nugent, Danny O'Shea, Alan Roscoe, The Connecticut Yankees A zany musical about an amateur musician in search of work who impersonates a big band leader."
828,The Valiant,"The Valiant The Valiant Drama William K. Howard Tom Barry, Tom Barry Fox Film Corporation Paul Muni, Marguerite Churchill, Johnny Mack Brown, DeWitt Jennings, Edith Murgatroyd, Clifford Dempsey, Richard Carlyle, Henry Kolker, Robert Elliott After killing an unknown man for an unknown reason, a mysterious drifter turns himself to the law, under a false name intending to protect his own family's honor. But when the news of his ..."
830,The Virginian,"L'uomo della Virginia The Virginian Romance, Western Victor Fleming Owen Wister, Kirk La Shelle Paramount Pictures Gary Cooper, Walter Huston, Mary Brian, Richard Arlen, Helen Ware, Chester Conklin, Eugene Pallette, Victor Potel, E.H. Calvert A good-natured cowboy who is romancing the new schoolmarm has a crisis of conscience when he discovers his best friend is engaged in cattle rustling."
833,Welcome Danger,"Evviva il pericolo! Welcome Danger Comedy Clyde Bruckman, Malcolm St. Clair Paul Gerard Smith, Felix Adler The Harold Lloyd Corporation Harold Lloyd, Barbara Kent, Noah Young, Charles Middleton, Will Walling, Grady Sutton Harold Bledsoe, a botany student, is called back home to San Francisco, where his late father had been police chief, to help investigate a crime wave in Chinatown."
834,Where East Is East,"Vendetta d'oriente Where East Is East Drama, Romance Tod Browning Tod Browning, Harry Sinclair Drago Metro-Goldwyn-Mayer (MGM) Lon Chaney, Lupe Velez, Estelle Taylor, Lloyd Hughes, Louis Stern, Mrs. Wong Wing When an animal trapper in Indo-China finds that his daughter's fiancé is being successfully seduced by her estranged mother, he takes appropriate action."
